,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Metrics,TVL,,,,,,,
,2022-05-11,59794572727,8177353431,161794324.3,3044483771,3326460772,6168775654,202550.4806,474293604.4
,2022-05-12,51293154903,7556251483,130794860.4,2668084046,2883225518,5281590913,159125.7745,387420489.6
,2022-05-13,46652528451,6843386413,118008745.9,2521428217,2544641930,4289492139,143433.1866,360899882.1
,2022-05-14,47101711507,7173534983,133881848.8,2526948812,2623455093,4286624071,159530.1747,381599493.3
,2022-05-15,47258283909,6966268437,129423748.6,2592809527,2579039429,4412453047,168933.1701,388996906.6
,2022-05-16,48571436910,7195571604,144909783,2758741051,2654224843,4486739419,189392.4228,397983616.4
,2022-05-17,47032509726,7031631943,136263296.8,2729650410,2534636878,4284849927,175957.587,393559707
,2022-05-18,48425344642,7180919512,141002682.8,2782561817,2553352126,4314447042,179318.016,396921273
,2022-05-19,46347384436,6918014431,124883122.8,2708326724,2439383281,3904624630,160256.9745,382897507
,2022-05-20,47977758385,7183280306,129328577.6,2771844948,2453854419,3851710490,154055.8074,387284958.2
,2022-05-21,46681349962,7182859860,126678133.8,2629949181,2401606606,3782309899,161079.367,396856801.5
,2022-05-22,46852075138,7325216754,130010540.8,2665686282,2412198579,3770354375,160441.842,406212135.4
,2022-05-23,48222188104,7421803141,137691125.7,2721918813,2455217835,3804319642,168480.7855,410500370.1
,2022-05-24,47649682055,7373925621,128968814.4,2708965660,2416099797,3726650600,161064.9214,403136754.9
,2022-05-25,48019794089,7498693795,129785295.4,2664048045,2455887830,3771075539,142880.3439,399673380.7
,2022-05-26,47671462256,7500870306,128300966.3,2649468283,2439039210,3685491849,140530.43,399347221.3
,2022-05-27,45661311509,7169247029,119533314.2,2563934783,2336526383,3466054174,131258.0242,399019857.8
,2022-05-28,44796597767,7058441377,115768880.8,2454670942,2302753779,3395319193,126415.479,437044506.1
,2022-05-29,45654146944,7083522820,116576541.1,2497043992,2317865161,3435639018,125484.976,442935823.8
,2022-05-30,45736467791,7006772418,118534220,2533259028,2310985923,3461396098,126882.477,448284952.1
,2022-05-31,48420303971,7287669711,139351327.8,2542265136,2395641379,3556134531,139327.6404,467037702.4
,2022-06-01,47955286358,7266001795,147769377.4,2533172014,2365660575,3532108212,137806.11,462517192.1
,2022-06-02,46106237099,6845808099,132442673.1,2460187789,2265021207,3448531143,124291.9275,454856008.6
,2022-06-03,46412637900,6942800899,137508684.8,2389367084,2243514229,3394730855,128625.043,471371567.4
,2022-06-04,45584847674,6816609750,130621441.4,2415619585,2205586852,3334391374,122160.4164,361178172.1
,2022-06-05,45293406063,6799214807,130780020.2,2396910420,2220812368,3322766871,122226.002,359497662.6
,2022-06-06,45641981749,6772028613,133215925.9,2341194323,2228703447,3358255240,122359.4365,365111580.2
,2022-06-07,45706429505,6685425392,136863952.4,2367857486,2241901824,3449035466,119889.4656,357647717.2
,2022-06-08,45736447343,6712320785,141975572,2358397234,2235333169,3450387227,123962.24,357317860.4
,2022-06-09,45525508865,6650269824,143308294.2,2487111507,2188368709,3459777958,117213.5056,352471656.1
,2022-06-10,45323253073,6434227261,139381800.7,2465926587,2193952819,3485753123,118735.3472,350989515.5
,2022-06-11,43214339004,6374386738,127620415.2,2413632541,2116989685,3377366301,111399.296,339255058.9
,2022-06-12,41352035622,6286176228,121334205,2279666259,1981001557,3253024163,103442.391,301759672.6
,2022-06-13,39641590284,6188021462,107154277.8,2097047476,1909075876,3060603975,95675.4475,294526201.8
,2022-06-14,34545127375,5179304231,99052880.21,1896079502,1677943808,2551473587,88400.27,275109348.5
,2022-06-15,33576040883,5218611145,104044453.5,1895721413,1621269150,2443876130,86341.2575,274134232.2
,2022-06-16,33334331127,5215293396,115026956.7,1786512941,1589311294,2344504053,99847.8521,258000771.9
,2022-06-17,30952772469,4961907443,103890387.4,1596638147,1491124775,2245084920,86746.9774,252391611.2
,2022-06-18,31404061027,5035272866,104325924.7,1685592832,1480438144,2275961107,88671.633,247571506.6
,2022-06-19,29494615397,4753202388,101506526.3,1601273977,1429045334,2204643307,83526.6162,240772028.9
,2022-06-20,30808045661,4873149354,107370348.3,1642447320,1472872331,2257395598,93567.5256,247457435
,2022-06-21,31243052173,4964407497,109280266.6,1625535813,1485906687,2292553578,93549.1463,249711884.7
,2022-06-22,31259412454,4926010312,106917742.7,1641077337,1487974470,2336894908,94638.1716,250692068.7
,2022-06-23,30943750827,4889774931,103899377,1627576908,1473286412,2313709281,100310.9275,247854182.9
,2022-06-24,32001364871,4935830874,105278058.9,1653366560,1533366106,2389328528,116330.676,254186521.5
,2022-06-25,32799963948,4979366797,118991952,1709637856,1550051055,2452237563,113942.9274,264761683.6
,2022-06-26,32958426015,4985941727,118138919.1,1711830525,1545552265,2470947844,119736.5035,266981104.2
,2022-06-27,32463838573,4963275009,116270293.7,1659014203,1518721349,2419147239,112904.3181,261392438.8
,2022-06-28,32086702998,4991462006,114980985.8,1667748963,1506895410,2381460008,107960.8038,259022022.7
,2022-06-29,31291712574,4967315319,122866902.8,1650570882,1482029067,2400539260,101810.768,241403353.6
,2022-06-30,30837127629,4985677772,121456654.2,1602062977,1450910131,2338196379,199514.245,236719884.6
,2022-07-01,30521883580,4959638727,120076320.4,1554606645,1443992487,2349063217,212412.69,237573664.4
,2022-07-02,30557847917,4971863513,117285008.4,1527902365,1442924722,2317217704,223558.0996,247338149.9
,2022-07-03,30754298767,4965788268,117945210.7,1567497057,1456016998,2303769395,220977.6312,248287754.6
,2022-07-04,30763323516,5119338119,117919442,1575252240,1430253119,2331999921,222243.8744,251906143.2
,2022-07-05,31804042561,5148421282,121546873,1595442952,1461245140,2389408879,241520.6595,258232318.1
,2022-07-06,31747037758,5153745927,118835775.1,1576274897,1470748073,2352071131,252628.6,259846327.8
,2022-07-07,32283234364,5314941044,120559156.9,1648206445,1489302568,2382507897,242631.0612,262793568.6
,2022-07-08,32516351879,5212391240,123619199.3,1725294499,1537472229,2439610757,256440.9436,271254177.6
,2022-07-09,31920600530,5157576296,120694835.7,1713081382,1525238309,2430797913,248996.7381,272271972.8
,2022-07-10,31945007419,5245591340,125237822.1,1703599448,1533432327,2439491679,304514.9276,272903418.3
,2022-07-11,31247504474,5133005083,120917895.1,1631134204,1492314201,2402951597,304006.1724,269365416.7
,2022-07-12,30335751576,4952817787,113373768.1,1554225322,1465599816,2351424756,282839.156,267808622.4
,2022-07-13,29436446567,4867777970,109546313.2,1581971251,1437685943,2298262293,270268.3449,266425950.1
,2022-07-14,30048272061,4988320964,113665713.9,1601898302,1488215518,2388651462,281170.252,261304703.5
,2022-07-15,30920307683,5108114785,115503704.6,1575868845,1522342167,2403627473,308679.4701,280756284.5
,2022-07-16,31327997144,5112231420,115964862,1600772906,1523749624,2416605611,311322.06,276134023.7
,2022-07-17,32178968646,5213143973,120267833.6,1686598953,1535331733,2453090154,318531.692,279981413.2
,2022-07-18,32137597529,5209164312,119512540.7,1667236966,1527125133,2451825532,309404.7647,276780993.5
,2022-07-19,34486700035,5422513210,128299548.8,1772268588,1628731545,2603384142,331579.3503,288776846
,2022-07-20,34408193357,5473062958,132914730.8,1770074461,1641416648,2660126832,359901.3804,289031787.5
,2022-07-21,34067815285,5392360462,128582764.4,1727531758,1645870415,2620205983,341078.2927,285741394
,2022-07-22,34482811113,5485825505,132123663.7,1728342161,1692024372,2645962961,385072.525,307671133.7
,2022-07-23,34622249068,5450570516,126984097,1681129824,1678406003,2656480741,438533.559,305752068.2
,2022-07-24,34657552130,5444092731,134728784.1,1665793914,1686852480,2663702209,414526.827,308333404.7
,2022-07-25,35339907621,5400804258,130351959.5,1675492565,1690424416,2648540325,397496.242,305481872.1
,2022-07-26,33428919167,5209063613,131852476.3,1639408892,1620484785,2429447205,375493.573,298022190.9
,2022-07-27,33307752343,5229944242,125475240.6,1595822232,1601668079,2384514935,379207.2457,306861528.6
,2022-07-28,35306290202,5426928862,135835627,1673710825,1697942984,2460738319,425365.589,311482812.8
,2022-07-29,36404924163,5570493918,138004383.9,1697378040,1762610174,2497193332,441220.6044,317148782.4
,2022-07-30,36255568099,5691577435,137141702.6,1687372823,1754973948,2417036059,441869.0736,318832777.1
,2022-07-31,36228616073,5647408019,137733490.8,2148120519,1771008748,2445596241,459090.5739,316778032.8
,2022-08-01,36097933737,5613464173,135386743.3,1692600497,1746587640,2426484162,449501.8473,315405235.1
,2022-08-02,35756108709,5561482224,98257892.96,1688171359,1710041494,2361890367,428337.7239,314436823.4
,2022-08-03,35311791131,5491254373,89288604.47,1601637880,1680442261,2317380815,400530.0453,304409931.1
,2022-08-04,35776598445,5693431464,92393464.25,1564765784,1667554190,2334960767,428110.0515,312866243.6
,2022-08-05,36209188746,5714865703,91932489.69,1569863723,1663464186,2284488777,429350.9502,310463876.3
,2022-08-06,36740440496,5797196904,94968067.4,1600846416,1684939125,2287164886,442852.067,324304926.9
,2022-08-07,36319993291,5732005353,96225163.48,1602219032,1661291518,2249222073,432179.9769,316158058.4
,2022-08-08,37142183776,5859158461,96464637.27,1618185823,1682172163,2250837661,463747.098,317447623.3
,2022-08-09,37173623272,5898675438,98362793.95,1637820689,1693130844,2290285251,484359.988,325798765.8
,2022-08-10,36133406253,5796304233,92758024.43,1502037344,1652024956,2254712721,434167.796,319672240.5
,2022-08-11,38059000480,5967074228,99943916.63,1536173664,1717867262,2302765821,475740.6657,326497311
,2022-08-12,38025661000,5879188584,97003180.67,1518869614,1738490459,2282978509,463644.0632,322198745
,2022-08-13,38318120214,5895311228,98669474.9,1563128297,1747198146,2309655106,475096.9404,325017342.4
,2022-08-14,38418506838,5888999404,106433447.3,1586234934,1974897551,2296010450,473388.7416,325156902.2
,2022-08-15,37764209613,5800104954,104434103.4,1899672739,2046448708,2266949235,462984.2421,324036634.4
,2022-08-16,37306641402,5759869198,100505426.2,1555834997,2103987510,2229711805,451376.8616,319005945.3
,2022-08-17,37328003986,5733496181,101467559.8,1646344906,2163338184,2210293066,460738.554,317100225.2
,2022-08-18,36697746485,5563240546,97739388.04,1573620756,2161526403,2179678618,468522.5363,312166924.1
,2022-08-19,36451439095,5457199360,91327089.95,1557703689,2144879306,2136752199,437563.1151,304796741.2
,2022-08-20,34275684818,5323259086,82926568.99,1484569202,2064036343,2060824478,430843.537,296673612.9
,2022-08-21,33924136339,5320314683,82196145.7,1503596291,2055906882,2054036417,407192.6901,293901624.2
,2022-08-22,33981141917,5474415193,83765866.07,1512318366,2112563133,2069176375,419739.0624,295925542.6
,2022-08-23,34015697847,5472270051,83424594.84,1490865302,2119150214,2049648536,433793.4335,294999531.8
,2022-08-24,34168005083,5476797747,82945180.29,1470853019,2099347226,2097048360,477997.5641,297050539.1
,2022-08-25,34399488437,5498269019,83474506.34,1462274412,2017523495,2105249927,511938.0918,298672615.4
,2022-08-26,34583823836,5511062746,83584907.33,1500425761,2002768465,2144991370,499016.4825,298750364.3
,2022-08-27,32848946457,5324736215,77975878.26,1417925315,1841791758,2068552491,450560.6925,293506781.6
,2022-08-28,32598358124,5286042816,81209385.98,1447902920,1821655963,2036076323,442354.47,291392941.9
,2022-08-29,32045873625,5234710872,76898752.1,1379654636,1787123018,1989727999,404840.31,285881568.1
,2022-08-30,33204440727,5368503701,80063304.76,1411720689,1829152622,1872697495,456031.5075,290658538.9
,2022-08-31,33122076008,5344885219,81428436.39,1399090837,1811902295,1851432788,463065.4125,292423720
,2022-09-01,32966288128,5284398827,79233993.46,1368619314,1801205315,1832219078,454077.645,294583642.3
,2022-09-02,33316342370,5286038032,81520836.64,1449548656,1789125578,1812082709,41105.5736,291874964.7
,2022-09-03,33328913955,5295212360,81926351.6,1367090251,1768253053,1799167797,41692.3304,290672755.5
,2022-09-04,33048097653,5298611255,85509380.69,1413016145,1764614387,1791298331,40714.4024,285855546.9
,2022-09-05,33141178196,5299491050,90336409.81,1404306169,1753436370,1787146315,42637.6608,287725256
,2022-09-06,33570679228,5458848741,90846048.78,1415573499,1746925582,1803051266,42083.5016,288215635.4
,2022-09-07,32201812045,5210095274,83111293.67,1375073481,1639780259,1722571677,38432.5704,285826944.5
,2022-09-08,32789876332,5332148893,85632518.03,1386773850,1633200971,1746092663,40850.7925,288507549.7
,2022-09-09,32827662743,5360636596,86433833.06,1400982444,1596878437,1722786223,44157.0045,290458945.3
,2022-09-10,33799723638,5477966168,89406104.37,1335162645,1589150919,1684866337,50833.0095,296569431.8
,2022-09-11,34347655540,5526404391,91810099.45,1341025361,1596812031,1680608419,50451.5235,294989572.7
,2022-09-12,33982388983,5447489001,90230062.64,1302507874,1570330211,1674747057,48989.1605,295075801.2
,2022-09-13,33477235915,5484867688,88575145.11,1381853342,1530263157,1658561473,48607.6745,299020033.3
,2022-09-14,31554270847,5249710660,82495267.7,1281888964,1453558062,1572878907,575280.3714,292528774.9
,2022-09-15,30634787420,5151885652,85273767.59,1295200252,1436594960,1565479378,563393.0781,291763177.9
,2022-09-16,29845001757,5149128313,84350171.23,1246910163,1360128725,1541188822,623523.2058,286735267.4
,2022-09-17,29898431559,5221647334,86092661.46,1270334818,1358931711,1555015852,671769.42,285320942.5
,2022-09-18,30322718857,5214957929,86657483.89,1292291222,1381349568,1583964994,646012.8016,288088417.3
,2022-09-19,29316197979,5134247958,80529989.37,1236656696,1323787052,1627553448,618212.8425,282092326.2
,2022-09-20,29468708467,5203622714,80272949.9,1267730854,1325704911,1640596569,636642.5373,285313695.9
,2022-09-21,29577780222,5229594805,81280355.54,1248886008,1303999266,1610821096,568796.232,282158816.8
,2022-09-22,28823288594,5220554112,77918380.15,1224609599,1254762936,1594087491,545447.9952,276207815.2
,2022-09-23,30621067754,5323522736,80123916.69,1262934771,1294685323,1613864058,608402.9575,280254292.9
,2022-09-24,30644872355,5327704274,81937163.23,1269796944,1284946871,1623714837,569645.5195,276496238
,2022-09-25,30332571062,5310509205,80628408.75,1250160101,1284310671,1602539388,559349.0787,277201732
,2022-09-26,30182761587,5303692936,79403784.49,1263800390,1281352907,1613369107,580834.56,276455940
,2022-09-27,30601813899,5351444035,79721977.47,1280670004,1317451141,1629205189,572979.3725,275493661.8
,2022-09-28,30686360042,5291202277,77808836.22,1277519795,1294972519,1627522645,553692.2319,274154758.2
,2022-09-29,30755097597,5377477487,77588681.98,1282394103,1300683370,1633093689,522149.8315,273670166.1
,2022-09-30,30726163674,5402412456,77878784.47,1290878311,1313090717,1620218561,520786.755,274383997.5
,2022-10-01,30596122834,5379481135,76858780.53,1275094648,1323511216,1624188216,529232.053,279321710.6
,2022-10-02,30965630589,5355767762,76216462.15,1274033187,1316917862,1614067292,518468.082,279075687.2
,2022-10-03,30551491019,5363055916,74849650.21,1265109460,1305571027,1595293104,495010.637,277424636.7
,2022-10-04,30761003025,5397249211,74748614.52,1281483982,1329455359,1614840289,525981.854,275430010.3
,2022-10-05,31119199685,5483388219,76194970.48,1296294329,1341147227,1621786721,525092.3894,270111928.7
,2022-10-06,31114877880,5477915494,76396441.04,1276546646,1370347981,1614143625,521330.5788,271185222.1
,2022-10-07,31085021797,5484786265,76200760.64,1284085176,1343007488,1586687514,525690.088,272061376.1
,2022-10-08,30898109321,5455603934,75551155.91,1273149216,1303255112,1441425556,532468.364,270020093.8
,2022-10-09,30673732750,5414039069,74810675.17,1270693768,1297185249,1440119505,534370.5558,266610017.7
,2022-10-10,30713358691,5429108809,75380209.64,1280086020,1314724921,1445669219,537850.412,264366881.7
,2022-10-11,30266462295,5382635636,69906179.15,1255649583,1291182363,1432396911,501653.3984,261384473.2
,2022-10-12,30290395689,5374987256,69930697.71,1092877348,1295276457,1549315499,494745.813,261125270.2
,2022-10-13,30327532755,5345572256,67978292.96,934209787.8,1270259426,1422526509,478475.51,260476477.3
,2022-10-14,29922646441,5356620552,67349979.05,880244210.5,1257004545,1424433333,470729.7309,256498626.5
,2022-10-15,29907456774,5327944045,65743464.39,873822402.2,1217585202,1400244877,472194.472,255692860.2
,2022-10-16,29888697342,5322280214,65766240.72,871722056.8,1266781128,1393602427,470808.744,254971591.2
,2022-10-17,30158671210,5349696730,66518158.44,930250681,1271079390,1398539884,475288.758,254082709.8
,2022-10-18,30452602770,5347537784,66164106.67,885390682.3,1281586103,1412093315,"Error fetching from server: {""error"": ""No tvl data found for ATOM for date 2022-10-18""}",255344910.6
,2022-10-19,30260187541,5339134831,63281587.49,878216127.5,1253273698,1388720948,505329.1866,252639292.6
,2022-10-20,29799906354,5346671109,61177367.47,871389869.8,1250929151,1376676571,476199.018,249739366.6
,2022-10-21,29563652132,5290208856,56340508.72,865143242.6,1229286074,1339258634,462566.0578,249354233.6
,2022-10-22,29570471384,5314282677,58733032.84,875689685,1238527101,1347441102,478488.4552,250254051.1
,2022-10-23,30207468283,5322714092,59291695.81,878374077.7,1227231580,1341368966,477263.6554,246571457.2
